cluster,cluster_name,district,num_reviews,rating_overall,photos_count,instant_book,min_nights,extra_guest_fee_policy,nearest_poi_dist_km,bedrooms,baths
3,프리미엄 비즈니스,Gangnam-gu,69,4.86,30,True,2,0,0.052,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,7,4.86,83,True,0,0,0.191,2,1.0
1,로컬 주거형,Yangcheon-gu,19,4.84,80,False,3,0,0.223,2,1.0
0,핫플 수익형,Mapo-gu,43,4.95,113,False,0,0,0.06,2,1.0
1,로컬 주거형,Gwangjin-gu,49,4.8,27,True,1,0,0.427,1,1.0
3,프리미엄 비즈니스,Jongno-gu,102,4.97,20,False,4,0,0.079,1,1.0
3,프리미엄 비즈니스,Jung-gu,22,4.77,21,False,3,0,0.032,2,2.0
0,핫플 수익형,Mapo-gu,59,4.73,19,False,2,0,0.142,1,1.0
1,로컬 주거형,Gangseo-gu,6,5.0,49,False,28,0,0.314,1,1.0
3,프리미엄 비즈니스,Jongno-gu,23,4.78,76,False,0,0,0.106,4,2.0
0,핫플 수익형,Mapo-gu,15,4.8,82,False,6,0,0.082,1,1.0
0,핫플 수익형,Mapo-gu,20,4.1,16,True,1,0,0.045,1,1.0
2,가성비 신흥형,Gwanak-gu,84,4.94,41,False,1,0,0.066,2,1.0
0,핫플 수익형,Mapo-gu,93,4.81,26,True,1,0,0.103,1,1.0
1,로컬 주거형,Seongbuk-gu,31,5.0,25,False,2,1,0.071,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,17,4.94,50,False,4,0,0.049,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,10,4.9,57,True,0,0,0.028,2,1.0
0,핫플 수익형,Mapo-gu,19,5.0,30,False,3,0,0.055,1,1.5
0,핫플 수익형,Mapo-gu,14,4.71,82,False,0,0,0.061,3,2.5
0,핫플 수익형,Mapo-gu,56,4.91,41,False,5,0,0.079,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,32,4.81,11,False,1,0,0.089,0,1.0
2,가성비 신흥형,Seodaemun-gu,87,4.83,12,False,1,0,0.052,3,1.0
1,로컬 주거형,Songpa-gu,150,4.91,12,True,1,0,0.195,1,1.0
0,핫플 수익형,Mapo-gu,83,4.54,24,False,2,0,0.069,1,1.0
0,핫플 수익형,Mapo-gu,44,4.84,24,False,5,0,0.402,1,1.0
