,superhost,instant_book,bedrooms_group,baths_group,guests_group,min_nights,extra_guest_fee_policy,rating_overall,photos_count,num_reviews,nearest_poi_dist_km,district_listing_count,district_superhost_rate,district_operating_rate,district_entire_home_rate,ttm_pop,photos_tier,review_rate,poi_dist_category,room_type_hotel_room,room_type_private_room,room_type_shared_room,nearest_poi_type_name_레포츠,nearest_poi_type_name_문화시설,nearest_poi_type_name_쇼핑,nearest_poi_type_name_숙박,nearest_poi_type_name_여행코스,nearest_poi_type_name_음식점,nearest_poi_type_name_축제공연행사
11701,0,1,5,6,5,1,0,4.61,17,74,0.075,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,1,0.2892150146006096,0,False,False,False,False,True,False,False,False,False,False
13799,1,1,5,6,5,1,0,4.76,37,25,0.064,816,0.4877450980392157,0.8884803921568627,0.8100490196078431,373225,3,0.5188874944191055,0,False,False,False,False,False,False,False,False,True,False
6147,1,0,5,6,5,1,0,4.95,21,40,0.219,816,0.4877450980392157,0.8884803921568627,0.8100490196078431,373225,1,0.2059944370893272,0,False,False,False,False,False,False,False,False,True,False
18326,0,0,5,6,5,1,0,0.0,4,1,0.064,3097,0.3580884727155312,0.853406522441072,0.7936712948014207,863150,0,0.1095890290861338,0,False,False,False,False,False,False,False,False,True,False
737,1,1,5,6,5,1,0,4.79,38,47,0.117,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.178101138035578,0,False,False,False,False,False,False,True,False,False,False
11388,1,0,5,6,5,2,0,4.56,75,9,0.027,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.2037812701509958,0,False,False,False,False,False,False,True,False,False,False
13758,1,0,5,6,5,1,0,4.6,8,63,0.254,1165,0.3639484978540772,0.9313304721030042,0.7399141630901288,470739,0,0.3727920922347283,0,False,False,False,False,False,False,False,False,True,False
17267,1,1,5,6,5,5,0,4.88,24,17,0.15,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,2,0.9505171400325892,0,False,False,False,False,False,False,False,False,True,False
14881,0,1,5,6,5,0,0,4.83,33,58,0.15,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,2,0.1898495926749166,0,False,True,False,False,False,False,False,False,True,False
1770,1,1,5,6,4,1,0,4.87,109,67,0.05,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.4134271232048184,0,False,False,False,False,False,False,False,False,True,False
3956,1,0,5,6,5,28,0,4.87,9,62,0.014,3097,0.3580884727155312,0.853406522441072,0.7936712948014207,863150,0,0.1932457487704092,0,False,False,False,False,True,False,False,False,False,False
